,relative_im_path,class,class_name,make,model,vehicle_type,year,open_rate,click_through_open_rate,revenue_generated_per_email,conversion_rate,campain_type,industry
0,car_ims/000001.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Survey,Retail
1,car_ims/000002.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,0,1,1,1,Transactional,Retail
2,car_ims/000003.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Newsletter,Real Estate
3,car_ims/000004.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,0,1,Webinar,Software and Technology
4,car_ims/000005.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Engagement,Entertainment
5,car_ims/000006.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Survey,Finance and Banking
6,car_ims/000007.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Abandoned_Cart,Healthcare
7,car_ims/000008.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,0,1,0,1,Review_Request,Energy
8,car_ims/000009.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,0,1,Engagement,Retail
9,car_ims/000010.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,0,0,0,1,Engagement,Software and Technology
10,car_ims/000011.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Webinar,Finance and Banking
11,car_ims/000012.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,1,1,1,1,Survey,Real Estate
12,car_ims/000013.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,0,1,1,0,Abandoned_Cart,Real Estate
13,car_ims/000014.jpg,1,AM General Hummer SUV 2000,AM,Hummer,SUV,2000,0,1,0,0,Product_Announcement,Energy
